MP NAME,WORK,CATEGORY,STATE,CONSTITUENCY,IDA,CITY,WARD,BLOCK,VILLAGE,RECOMMENDED DATE,ALLOCATION AMOUNT,IDA APPROVAL,STATUS,HOUSE,,,,,,
Sukhbir Singh Jaunapuria,NA - Construction of community centers and community halls,Normal/Others,Rajasthan,TONK-SAWAI MADHOPUR,DISTRICT COLLECTOR TONK_IDA,,,Peeplu,Janwali,03-03-2024,500000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Devji Mansingram Patel,NA - Purchase of other aids / devices required for P/ M/ V/ H impaired for differently abled persons,Normal/Others,Rajasthan,JALORE,DISTRICT COLLECTOR Sanchor_IDA,,,Sanchore,Kilawa,03-03-2024,110000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Devji Mansingram Patel,NA - Street lights,Normal/Others,Rajasthan,JALORE,DISTRICT COLLECTOR Sanchor_IDA,,,Bagora,Bagora,03-03-2024,400000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Devji Mansingram Patel,NA - Construction of common work sheds/ common covered sitting area,Normal/Others,Rajasthan,JALORE,DISTRICT COLLECTOR Sanchor_IDA,,,Raniwara,Doongri,03-03-2024,500000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Rahul Kaswan,NA - Development of playfields and sports grounds,Normal/Others,Rajasthan,CHURU,DISTRICT COLLECTOR CHURU_IDA,,,Taranagar,Poonras,03-03-2024,650000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Rahul Kaswan,NA - Construction of rooms and halls in school and colleges,Normal/Others,Rajasthan,CHURU,DISTRICT COLLECTOR CHURU_IDA,,,Bidasar,Parewara,03-03-2024,850000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Rahul Kaswan,NA - Construction of rooms and halls in school and colleges,Normal/Others,Rajasthan,CHURU,DISTRICT COLLECTOR CHURU_IDA,,,Taranagar,Kharathwasiya,03-03-2024,700000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Rahul Kaswan,NA - Improvement of electricity distribution infrastructure,Normal/Others,Rajasthan,CHURU,DISTRICT COLLECTOR CHURU_IDA,,,Ratangarh,Menasar,03-03-2024,142000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Rahul Kaswan,NA - Construction of rooms and halls in school and colleges,Normal/Others,Rajasthan,CHURU,DISTRICT COLLECTOR CHURU_IDA,,,Ratangarh,Ladhasar,03-03-2024,850000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
Rahul Kaswan,NA - Construction of rooms and halls in school and colleges,Normal/Others,Rajasthan,CHURU,DISTRICT COLLECTOR CHURU_IDA,,,Sardarshahar,Bhojoosar Upadhiiyan,03-03-2024,850000,Action Pending,Unsanctioned,Lok Sabha,,,,,,
SHRI Rajeev Chandrashekhar,NA - Construction of roads,,,,,,,,,,,,,,,,,,,
SH Dhiraj Prasad Sahu,NA - Construction of roads,,,,,,,,,,,,,,,,,,,
SH Dhiraj Prasad Sahu,NA - Construction of roads,,,,,,,,,,,,,,,,,,,
