trustus_project_id,mp_name,work,category,state,constituency,ida,city,ward,block,village,recommended_date,allocation_amount,ida_approval,status,house,source_row_number
MPLADS-050497,Smt Ramilaben Bara,NA - Lighting of public spaces,Normal/Others,Gujarat,Sitting Rajya Sabha,DISTRICT COLLECTOR SABARKANTHA_IDA,,,VIJAYNAGAR,Kodiyavada,,150000.0,Action Pending,Unsanctioned,Rajya Sabha,50498
MPLADS-050498,Smt Ramilaben Bara,NA - Lighting of public spaces,Normal/Others,Gujarat,Sitting Rajya Sabha,DISTRICT COLLECTOR SABARKANTHA_IDA,,,VIJAYNAGAR,Kodiyavada,,150000.0,Action Pending,Unsanctioned,Rajya Sabha,50499
MPLADS-050499,Smt Ramilaben Bara,NA - Purchase of immovable sports equipment,Normal/Others,Gujarat,Sitting Rajya Sabha,DISTRICT COLLECTOR ARVALLI_IDA,,,MEGHRAJ,Jalampur,,100000.0,Action Pending,Unsanctioned,Rajya Sabha,50500
MPLADS-050500,Smt Ramilaben Bara,NA - Purchase of immovable sports equipment,Normal/Others,Gujarat,Sitting Rajya Sabha,DISTRICT COLLECTOR ARVALLI_IDA,,,MEGHRAJ,Chhitadara,,100000.0,Action Pending,Unsanctioned,Rajya Sabha,50501
MPLADS-050501,Smt Ramilaben Bara,NA - Purchase of immovable sports equipment,Normal/Others,Gujarat,Sitting Rajya Sabha,DISTRICT COLLECTOR ARVALLI_IDA,,,MEGHRAJ,Rellavada,,100000.0,Action Pending,Unsanctioned,Rajya Sabha,50502
MPLADS-050502,Smt Ramilaben Bara,NA - Purchase of immovable sports equipment,Normal/Others,Gujarat,Sitting Rajya Sabha,DISTRICT COLLECTOR ARVALLI_IDA,,,MEGHRAJ,Tarakvada,,100000.0,Action Pending,Unsanctioned,Rajya Sabha,50503
MPLADS-050503,SHRI Bashistha Narain Singh,WS/MP046/2023-2024/11647 - Construction of roads,,,,,,,,,,,,,,50504
MPLADS-050504,SHRI Bashistha Narain Singh,WS/MP046/2023-2024/11644 - Construction of roads,,,,,,,,,,,,,,50505
MPLADS-050505,Rahul Kaswan,NA - Construction of roads,,,,,,,,,,,,,,50506
MPLADS-050506,SHRI Bashistha Narain Singh,WS/MP046/2023-2024/11643 - Construction of roads,,,,,,,,,,,,,,50507
MPLADS-050507,SHRI Bashistha Narain Singh,WS/MP046/2023-2024/11642 - Construction of roads,,,,,,,,,,,,,,50508
MPLADS-050508,Smt Ranjeeta Koli,NA - Construction of community centers and community halls,Normal/Others,Rajasthan,BHARATPUR(SC),DISTRICT COLLECTOR BHARATPUR_IDA,,,DEEG,Toda,,500000.0,Action Pending,Unsanctioned,Lok Sabha,50509
MPLADS-050509,Smt Ranjeeta Koli,NA - Installing hand pumps,Normal/Others,Rajasthan,BHARATPUR(SC),DISTRICT COLLECTOR BHARATPUR_IDA,,,RUPBAS,Madapura,,120000.0,Action Pending,Unsanctioned,Lok Sabha,50510
MPLADS-050510,Smt Ranjeeta Koli,NA - Installing hand pumps,Normal/Others,Rajasthan,BHARATPUR(SC),DISTRICT COLLECTOR BHARATPUR_IDA,,,RUPBAS,Madapura,,120000.0,Action Pending,Unsanctioned,Lok Sabha,50511
MPLADS-050511,Smt Ranjeeta Koli,NA - Construction of rooms and halls in school and colleges,Normal/Others,Rajasthan,BHARATPUR(SC),DISTRICT COLLECTOR BHARATPUR_IDA,,,RUPBAS,Madapura,,500000.0,Action Pending,Unsanctioned,Lok Sabha,50512
MPLADS-050512,Rahul Kaswan,NA - Purchase of non-conventional energy system and devices for community use,Normal/Others,Rajasthan,CHURU,DISTRICT COLLECTOR CHURU_IDA,Rajgarh(Churu),Ward No 10,,,,150000.0,Action Pending,Unsanctioned,Lok Sabha,50513
MPLADS-050513,Smt Ranjeeta Koli,NA - Crematoriums or structures on burial/ cremation ground for public convenience,Normal/Others,Rajasthan,BHARATPUR(SC),DISTRICT COLLECTOR BHARATPUR_IDA,,,SEWAR,Par,,500000.0,Action Pending,Unsanctioned,Lok Sabha,50514
MPLADS-050514,Smt Ranjeeta Koli,NA - Construction of roads,,,,,,,,,,,,,,50515
MPLADS-050515,Smt Ranjeeta Koli,NA - Construction of roads,,,,,,,,,,,,,,50516
MPLADS-050516,Rahul Kaswan,NA - Construction of roads,,,,,,,,,,,,,,50517
MPLADS-050517,Rahul Kaswan,NA - Construction of roads,,,,,,,,,,,,,,50518
MPLADS-050518,Smt Ranjeeta Koli,NA - Crematoriums or structures on burial/ cremation ground for public convenience,Normal/Others,Rajasthan,BHARATPUR(SC),DISTRICT COLLECTOR BHARATPUR_IDA,,,NADBAI,Raisees,,500000.0,Action Pending,Unsanctioned,Lok Sabha,50519
MPLADS-050519,Rahul Kaswan,NA - Construction of roads,,,,,,,,,,,,,,50520
MPLADS-050520,Smt Ranjeeta Koli,NA - Construction of roads,,,,,,,,,,,,,,50521
MPLADS-050521,Smt Ramilaben Bara,NA - Lighting of public spaces,Normal/Others,Gujarat,Sitting Rajya Sabha,DISTRICT COLLECTOR SABARKANTHA_IDA,,,VIJAYNAGAR,Pal,,150000.0,Action Pending,Unsanctioned,Rajya Sabha,50522
MPLADS-050522,Smt Ramilaben Bara,NA - Lighting of public spaces,Normal/Others,Gujarat,Sitting Rajya Sabha,DISTRICT COLLECTOR SABARKANTHA_IDA,,,VIJAYNAGAR,Pal,,150000.0,Action Pending,Unsanctioned,Rajya Sabha,50523
MPLADS-050523,Smt Ramilaben Bara,NA - Lighting of public spaces,Normal/Others,Gujarat,Sitting Rajya Sabha,DISTRICT COLLECTOR SABARKANTHA_IDA,,,VIJAYNAGAR,Pal,,150000.0,Action Pending,Unsanctioned,Rajya Sabha,50524
MPLADS-050524,Smt Ramilaben Bara,NA - Lighting of public spaces,Normal/Others,Gujarat,Sitting Rajya Sabha,DISTRICT COLLECTOR SABARKANTHA_IDA,,,VIJAYNAGAR,Pal,,150000.0,Action Pending,Unsanctioned,Rajya Sabha,50525
MPLADS-050525,Smt Ramilaben Bara,NA - Lighting of public spaces,Normal/Others,Gujarat,Sitting Rajya Sabha,DISTRICT COLLECTOR SABARKANTHA_IDA,,,VIJAYNAGAR,Chitariya,,150000.0,Action Pending,Unsanctioned,Rajya Sabha,50526
MPLADS-050526,Smt Ramilaben Bara,NA - Lighting of public spaces,Normal/Others,Gujarat,Sitting Rajya Sabha,DISTRICT COLLECTOR SABARKANTHA_IDA,,,VIJAYNAGAR,Chitariya,,150000.0,Action Pending,Unsanctioned,Rajya Sabha,50527
MPLADS-050527,Smt Ramilaben Bara,NA - Lighting of public spaces,Normal/Others,Gujarat,Sitting Rajya Sabha,DISTRICT COLLECTOR SABARKANTHA_IDA,,,VIJAYNAGAR,Chitariya,,150000.0,Action Pending,Unsanctioned,Rajya Sabha,50528
MPLADS-050528,Smt Ramilaben Bara,NA - Lighting of public spaces,Normal/Others,Gujarat,Sitting Rajya Sabha,DISTRICT COLLECTOR SABARKANTHA_IDA,,,VIJAYNAGAR,Chitariya,,150000.0,Action Pending,Unsanctioned,Rajya Sabha,50529
MPLADS-050529,SHRI Bashistha Narain Singh,WS/MP046/2023-2024/11683 - Construction of roads,,,,,,,,,,,,,,50530
MPLADS-050530,Smt Ranjeeta Koli,NA - Crematoriums or structures on burial/ cremation ground for public convenience,Normal/Others,Rajasthan,BHARATPUR(SC),DISTRICT COLLECTOR ALWAR_IDA,,,KATHUMAR,Reta,,500000.0,Action Pending,Unsanctioned,Lok Sabha,50531
MPLADS-050531,Smt Ramilaben Bara,NA - Purchase of immovable sports equipment,Normal/Others,Gujarat,Sitting Rajya Sabha,DISTRICT COLLECTOR ARVALLI_IDA,,,MEGHRAJ,Isari,,100000.0,Action Pending,Unsanctioned,Rajya Sabha,50532
